archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_sv,name_fi,name_pt-br,name_en,name_ar-sy,name_fr,name_zh-cn,name_es-ar,name_nb,name_fa,name_nl
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/state[at0013]/items[at0014]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/state[at0013]/items[at0014]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/state[at0013]/items[at0019],ELEMENT,CComplexObject,at0019,Einflussfaktoren,*Confounding factors(en),Möjliga felkällor och påverkande faktorer,Sekoittavat tekijät,Fatores de confundimento,Confounding factors,*Confounding factors(en),Facteurs de confusion,*Confounding factors(en),*Confounding factors(en),Konfunderende faktorer,*Confounding factors(en),Beïnvloedende factoren
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0002]/state[at0013]/items[at0019]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021],POINT_EVENT,CComplexObject,at0021,Geburt,*Birth(en),Födelse,Syntymä,Nascimento,Birth,*Birth(en),Naissance,*Birth(en),*Birth(en),Fødsel,*Birth(en),Geboorte
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/data,ITEM_TREE,ArchetypeInternalRef
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/data[at0003],ITEM_TREE,CComplexObject,at0003,Simple,*Simple(en),Simple,Simple,Simple,Simple,*Simple(en),Simple,*Simple(en),*Simple(en),Simple,*Simple(en),Simple
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/data[at0003]/items[at0004],ELEMENT,CComplexObject,at0004,Größe/Länge,Рост/длина тела,Kroppslängd,Pituus,Altura / comprimento,Height/Length,الارتفاع / الطول,Hauteur/Longueur,身高/身长,Altura/Longitud corporal,Høyde/lengde,قد و یا طول,Hoogte/Lengte
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/data[at0003]/items[at0004]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/data[at0003]/items[at0018],ELEMENT,CComplexObject,at0018,Kommentar,*Comment(en),Kommentar,Kommentti,Comentário,Comment,*Comment(en),Commentaire,*Comment(en),*Comment(en),Kommentar,*Comment(en),Opmerking
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/data[at0003]/items[at0018]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state,ITEM_TREE,ArchetypeInternalRef
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state[at0013],ITEM_TREE,CComplexObject,at0013,Tree,*Tree(en),Tree,Tree,Tree,Tree,*Tree(en),Tree,*Tree(en),*Tree(en),Tree,*Tree(en),Tree
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state[at0013]/items[at0014],ELEMENT,CComplexObject,at0014,Position,Положение,Kroppsställning,Asento,Posição,Position,الوضع,Position,体位,Posición,Kroppsstilling,موقعیت,Positie
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state[at0013]/items[at0014]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state[at0013]/items[at0014]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state[at0013]/items[at0019],ELEMENT,CComplexObject,at0019,Einflussfaktoren,*Confounding factors(en),Möjliga felkällor och påverkande faktorer,Sekoittavat tekijät,Fatores de confundimento,Confounding factors,*Confounding factors(en),Facteurs de confusion,*Confounding factors(en),*Confounding factors(en),Konfunderende faktorer,*Confounding factors(en),Beïnvloedende factoren
openEHR-EHR-OBSERVATION.height.v2,/data[at0001]/events[at0021]/state[at0013]/items[at0019]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.height.v2,/protocol[at0007],ITEM_TREE,CComplexObject,at0007,List,*List(en),List,List,List,List,*List(en),List,*List(en),*List(en),List,*List(en),List
openEHR-EHR-OBSERVATION.height.v2,/protocol[at0007]/items[at0011],CLUSTER,ArchetypeSlot,at0011,Gerät,Устройство,Utrustning,Laite,Dispositivo,Device,الجهيزة,Dispositif,装置,Instrumento,Måleutstyr,تجهیز,Apparaat
openEHR-EHR-OBSERVATION.height.v2,/protocol[at0007]/items[at0022],CLUSTER,ArchetypeSlot,at0022,Erweiterung,*Extension(en),Tilläggsinformation,Laajennus,Extensão,Extension,*Extension(en),Extension,*Extension(en),*Extension(en),Tilleggsinformasjon,*Extension(en),*Extension(en)
