archetype_id,path,rm_type,aom_type,node_id,name_nb
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/,OBSERVATION,CComplexObject,at0000,Termometer for grad av påkjenning - NCCN_2017
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001],HISTORY,CComplexObject,at0001,History
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002],POINT_EVENT,CComplexObject,at0002,Uspesifisert tidspunkthendelse
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003],ITEM_TREE,CComplexObject,at0003,Tree
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005],ELEMENT,CComplexObject,at0005,Termometer for grad av påkjenning
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0005]/value,DV_ORDINAL,CDvOrdinal
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0037],ELEMENT,CComplexObject,at0037,Jobb/skole/utdanning
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0037]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0037]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0040],ELEMENT,CComplexObject,at0040,Beslutninger om behandling
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0040]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0018]/items[at0040]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019],CLUSTER,CComplexObject,at0019,Familiære problemer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0043],ELEMENT,CComplexObject,at0043,Forhold til barn
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0043]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0043]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0046],ELEMENT,CComplexObject,at0046,Forhold til partner
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0046]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0046]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0049],ELEMENT,CComplexObject,at0049,Mulighet til å få barn
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0049]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0049]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0052],ELEMENT,CComplexObject,at0052,Helseproblemer i familien
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0052]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0019]/items[at0052]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020],CLUSTER,CComplexObject,at0020,Emosjonelle problemer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0061],ELEMENT,CComplexObject,at0061,Depresjon
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0061]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0061]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0064],ELEMENT,CComplexObject,at0064,Frykt
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0064]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0064]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0067],ELEMENT,CComplexObject,at0067,Nervøsitet
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0067]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0067]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0070],ELEMENT,CComplexObject,at0070,Nedstemthet
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0070]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0070]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0073],ELEMENT,CComplexObject,at0073,Bekymringer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0073]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0073]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0076],ELEMENT,CComplexObject,at0076,Tap av interesse for vanlige aktiviteter
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0076]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0020]/items[at0076]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024],CLUSTER,CComplexObject,at0024,Fysiske problemer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0082],ELEMENT,CComplexObject,at0082,Utseende
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0082]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0082]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0085],ELEMENT,CComplexObject,at0085,Hygiene/påkledning
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0085]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0085]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0088],ELEMENT,CComplexObject,at0088,Pusten
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0088]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0088]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0091],ELEMENT,CComplexObject,at0091,Endringer i vannlating
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0091]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0091]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0094],ELEMENT,CComplexObject,at0094,Forstoppelse
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0094]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0094]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0097],ELEMENT,CComplexObject,at0097,Diaré
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0097]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0097]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0100],ELEMENT,CComplexObject,at0100,Spising
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0100]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0100]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0103],ELEMENT,CComplexObject,at0103,Tretthet
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0103]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0103]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0106],ELEMENT,CComplexObject,at0106,Føle seg oppblåst
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0106]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0106]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0109],ELEMENT,CComplexObject,at0109,Feber
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0109]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0109]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0112],ELEMENT,CComplexObject,at0112,Mobilitet (ta seg frem)
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0112]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0112]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0115],ELEMENT,CComplexObject,at0115,Fordøyelse
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0115]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0115]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0118],ELEMENT,CComplexObject,at0118,Hukommelse/konsentrasjon
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0118]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0118]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0121],ELEMENT,CComplexObject,at0121,Sår i munnen
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0121]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0121]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0124],ELEMENT,CComplexObject,at0124,Kvalme
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0124]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0124]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0127],ELEMENT,CComplexObject,at0127,Tørr/tett nese
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0127]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0127]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0130],ELEMENT,CComplexObject,at0130,Smerter
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0130]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0130]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0133],ELEMENT,CComplexObject,at0133,Seksualitet
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0133]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0133]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0136],ELEMENT,CComplexObject,at0136,Tørr/kløende hud
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0136]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0136]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0139],ELEMENT,CComplexObject,at0139,Søvn
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0139]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0139]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0142],ELEMENT,CComplexObject,at0142,Rusmisbruk
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0142]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0142]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0145],ELEMENT,CComplexObject,at0145,Prikking i hender/føtter
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0145]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0024]/items[at0145]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0079],ELEMENT,CComplexObject,at0079,Åndelige/religiøse bekymringer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0079]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0079]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0148],ELEMENT,CComplexObject,at0148,Andre problemer
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0148]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.nccns_2017_v2.v1,/protocol[at0004],ITEM_TREE,CComplexObject,at0004,Item tree
