archetype_id,path,rm_type,aom_type,node_id,name_de,name_ru,name_sv,name_fi,name_pt-br,name_ar-sy,name_en,name_fr,name_zh-cn,name_es,name_nb,name_ja,name_fa,name_nl
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/data[at0001],ITEM_TREE,CComplexObject,at0001,Simple,Простой,Simple,Simple,Simple,Simple,Simple,Simple,*Simple(en),*Simple(en),Simple,*Simple(en),Simple,*Simple(en)
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/data[at0001]/items[at0004],ELEMENT,CComplexObject,at0004,Gewicht,Вес,Vikt,Paino,Peso,الوزن,Weight,Poids,重量,Peso,Kroppsvekt,重量,وزن,Gewicht
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/data[at0001]/items[at0004]/value,DV_QUANTITY,CDvQuantity
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/data[at0001]/items[at0024],ELEMENT,CComplexObject,at0024,Kommentar,*Comment(en),Kommentar,Kommentti,Comentário,*Comment(en),Comment,Commentaire,备注,*Comment(en),Kommentar,*Comment(en),*Comment(en),Opmerking
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/data[at0001]/items[at0024]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state,ITEM_TREE,ArchetypeInternalRef
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state[at0008],ITEM_TREE,CComplexObject,at0008,State structure,state structure,state structure,state structure,state structure,state structure,state structure,state structure,*state structure(en),*state structure(en),state structure,*state structure(en),state structure,*state structure(en)
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state[at0008]/items[at0009],ELEMENT,CComplexObject,at0009,Status der Bekleidung,*State of dress(en),Klädsel,Vaatetus,Situação do vestuário,*State of dress(en),State of dress,État de la tenue vestimentaire,衣着状态,*State of dress(en),Påkledning,*State of dress(en),*State of dress(en),Kleding
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state[at0008]/items[at0009]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state[at0008]/items[at0009]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state[at0008]/items[at0025],ELEMENT,CComplexObject,at0025,Einflußfaktoren,*Confounding factors(en),Möjliga felkällor,Sekoittavat tekijät,Fatores de confundimento,*Confounding factors(en),Confounding factors,Facteurs de confusion,干扰因素,*Confounding factors(en),Konfunderende faktorer,*Confounding factors(en),*Confounding factors(en),Beïnvloedende factoren.
openEHR-EHR-OBSERVATION.body_weight.v2,/data[at0002]/events[at0026]/state[at0008]/items[at0025]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.body_weight.v2,/protocol[at0015],ITEM_TREE,CComplexObject,at0015,Protocol structure,protocol structure,protocol structure,protocol structure,protocol structure,protocol structure,protocol structure,protocol structure,*protocol structure(en),*protocol structure(en),protocol structure,*protocol structure(en),protocol structure,*protocol structure(en)
openEHR-EHR-OBSERVATION.body_weight.v2,/protocol[at0015]/items[at0020],CLUSTER,ArchetypeSlot,at0020,Gerät,Устройство,Utrustning,Laite,Dispositivo,الجهيزة,Device,Dispositif,装置,Dispositivo,Måleapparat,測定機器,تجهیز,Apparaat
openEHR-EHR-OBSERVATION.body_weight.v2,/protocol[at0015]/items[at0027],CLUSTER,ArchetypeSlot,at0027,Erweiterung,*Extension(en),Tilläggsinformation,Laajennus,Extensão,*Extension(en),Extension,Extension,扩展,*Extension(en),Tilleggsinformasjon,*Extension(en),*Extension(en),Uitbreiding
