archetype_id,path,rm_type,aom_type,node_id,name_de,name_sv,name_nb,name_en
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0072]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0072]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0091],ELEMENT,CComplexObject,at0091,Modalität,*Modality (en),Modalitet,Modality
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/data[at0003]/items[at0091]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/state[at0047],ITEM_TREE,CComplexObject,at0047,Tree,Tree,*Tree(en),Tree
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/state[at0047]/items[at0048],ELEMENT,CComplexObject,at0048,Störfaktoren,Möjliga felkällor,Konfunderende faktorer,Confounding factors
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/state[at0047]/items[at0048]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/state[at0047]/items[at0107],CLUSTER,ArchetypeSlot,at0107,Stabilisierende Instrumente,*Stabilising appliance (en),Stabiliserende utstyr,Stabilising appliance
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/state[at0047]/items[at0108],ELEMENT,CComplexObject,at0108,Position,*Position (en),Stilling,Position
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/data[at0001]/events[at0002]/state[at0047]/items[at0108]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025],ITEM_TREE,CComplexObject,at0025,Tree,Tree,Tree,Tree
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0026],CLUSTER,ArchetypeSlot,at0026,Bildgebungsdienst,*Imaging service (en),Tjenesteleverandør,Imaging service
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027],CLUSTER,CComplexObject,at0027,Details zum Untersuchungsauftrag,Beställningsdetaljer,Henvisningsdetaljer,Examination request details
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0028],ELEMENT,CComplexObject,at0028,Auftragskennung des Anforderers,Beställnings-ID,Rekvirentens rekvisisjonsID,Requester order identifier
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0028]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0029],ELEMENT,CComplexObject,at0029,Name der angeforderter Untersuchung,Namn på beställd undersökning,Bestilt undersøkelsesnavn,Examination requested name
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0029]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0030],CLUSTER,ArchetypeSlot,at0030,Anforderer,Beställare,Rekvirent,Requester
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0031],ELEMENT,CComplexObject,at0031,Auftragskennung des Empfängers,*Receiver order identifier (en),Rekvisisjonsmottakers rekvisisjonsID,Receiver order identifier
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0027]/items[at0031]/value,DV_CODED_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0041],CLUSTER,ArchetypeSlot,at0041,Technische / klinische Verfahren strukturiert,*Structured technique/procedure (en),Strukturert teknikk/prosedyre,Structured technique/procedure
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0046],CLUSTER,ArchetypeSlot,at0046,Erweiterung,Tilläggsinformation,Tilleggsinformasjon,Extension
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0049],ELEMENT,CComplexObject,at0049,Zusammenfassung des technischen Verfahrens,*Technique summary (en),Sammendrag av teknikk,Technique summary
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0049]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0062],ELEMENT,CComplexObject,at0062,Zusammenfassung der Prozedur,*Procedure summary (en),Sammendrag av prosedyre,Procedure summary
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0062]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0065],CLUSTER,ArchetypeSlot,at0065,Seriendetails,*Series details (en),Detaljer om bildeserie/r,Series details
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0069],CLUSTER,ArchetypeSlot,at0069,Gerät,*Device (en),Utstyr,Device
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0083],CLUSTER,ArchetypeSlot,at0083,Verteilerliste,Distribution list,Kopimottakere,Distribution list
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0087],ELEMENT,CComplexObject,at0087,Technisches Verfahren,*Technique (en),Teknikk,Technique
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0087]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0088],ELEMENT,CComplexObject,at0088,Klinische Prozedur,*Procedure (en),Prosedyre,Procedure
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0088]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0092],ELEMENT,CComplexObject,at0092,Studieninstanz-ID,*Study instance identifier (en),Undersøkelses ID,Study instance identifier
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0092]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093],CLUSTER,CComplexObject,at0093,Details zur Vergleichsstudie,*Comparison study details (en),Detaljer om sammenlignende bilder,Comparison study details
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0067],CLUSTER,ArchetypeSlot,at0067,Details zur Vergleichsserie,*Comparison series details (en),Detaljer om sammenlignende serier,Comparison series details
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0094],ELEMENT,CComplexObject,at0094,Name der Studie,*Study name (en),Undersøkelsesnavn,Study name
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0094]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0095],ELEMENT,CComplexObject,at0095,Studienkennung,*Study identifier (en),Undersøkelses ID,Study identifier
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0095]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0096],ELEMENT,CComplexObject,at0096,Zeitpunkt der Studie,*Study date (en),Undersøkelsesdato,Study date
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0096]/value,DV_DATE_TIME,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0097],ELEMENT,CComplexObject,at0097,Studienendpunkt,*Study end point (en),Lagringssted,Study end point
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0093]/items[at0097]/value,DV_URI,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0098],ELEMENT,CComplexObject,at0098,Studienendpunkt,*Study end point (en),Lagringssted,Study end point
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0098]/value,DV_URI,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0099],ELEMENT,CComplexObject,at0099,Studienstatus,*Study status (en),Undersøkelsesstatus,Study status
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0099]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0099]/value/defining_code,CODE_PHRASE,CCodePhrase
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0104],ELEMENT,CComplexObject,at0104,Bericht-ID,*Report identifier (en),RapportID,Report identifier
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0104]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0105],ELEMENT,CComplexObject,at0105,Studienbeschreibung,*Study description (en),Klassifikasjon av undersøkelsen,Study description
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0105]/value,DV_TEXT,CComplexObject
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0106],ELEMENT,CComplexObject,at0106,Bildinformationen,*Image details (en),Bildedetaljer,Image details
openEHR-EHR-OBSERVATION.imaging_exam_result.v1,/protocol[at0025]/items[at0106]/value,DV_URI,CComplexObject
